continent,country,population,date,new_cases,active_cases,cases_per_million,total_cases,new_deaths,deaths_per_million,total_deaths,tests_per_million,total_tests
South-America,Paraguay,7305843,2026-02-16,,,114648,837602,,2759,20155,363751,2657506
Asia,Azerbaijan,10300205,2026-02-16,,745,81089,835234,,1010,10400,752223,7748050
Asia,Bahrain,1783983,2026-02-16,,60,408944,729549,,882,1574,6137138,10948549
Asia,Cyprus,1223387,2026-02-16,,0,556741,681110,,1116,1365,7879860,9640118
North-America,Dominican-Republic,11056370,2026-02-16,,190,61131,675890,,397,4384,338350,3740928
Asia,Sri-Lanka,21575842,2026-02-16,,5,31181,672754,,783,16897,300619,6486117
Asia,Kuwait,4380326,2026-02-16,,,152308,667158,,587,2570,1930391,8455743
Asia,Myanmar,55227143,2026-02-16,,2219,11622,641873,,353,19495,212061,11711514
Europe,Moldova,4013171,2026-02-16,,,158265,635145,,3044,12218,801437,3216305
Europe,Estonia,1321910,2026-02-16,,,475123,628070,,2270,3001,5271239,6968103
Asia,Palestine,5345541,2026-02-16,,159,116173,621008,,1011,5404,575907,3078533
Asia,DPRK,25990679,2026-02-16,,0,183636,4772813,,3,74,,
Asia,Jordan,10300869,2026-02-16,,1868,169597,1746997,,1371,14122,1669945,17201885
Africa,South-Africa,60756135,2026-02-16,+614,61362,67095,4076463,,1689,102595,441027,26795090
Europe,Ukraine,43192122,2026-02-16,,0,128681,5557995,,2603,112418,754855,32603805
Asia,Taiwan,23888595,2026-02-16,,0,428720,10241523,,796,19005,1286903,30742304
South-America,Argentina,46010234,2026-02-16,,746,220143,10128845,,2844,130841,776264,35716069
Europe,Netherlands,17211447,2026-02-16,,195,501747,8635786,,1336,22992,1509718,25984435
North-America,Mexico,131562772,2026-02-16,,467986,58549,7702809,,2546,334958,152124,20013810
Asia,Iran,86022837,2026-02-16,,,88665,7627186,,1707,146811,666338,57320267
Asia,Indonesia,279134505,2026-02-16,,20054,24466,6829221,,581,162063,408975,114158919
Europe,Poland,37739785,2026-02-16,,,176524,6661991,,3196,120598,1041970,39323709
South-America,Colombia,51512762,2026-02-16,,44821,124244,6400173,,2780,143200,717327,36951507
Europe,Greece,10316637,2026-02-16,,,591412,6101379,,3671,37869,9909078,102228365
Europe,Austria,9066710,2026-02-16,,3811,670727,6081287,,2486,22542,23302116,211273524
Europe,Portugal,10140570,2026-02-16,,127,556484,5643062,,2774,28126,4549993,46139518
South-America,Chile,19250195,2026-02-16,,67906,279730,5384853,,3350,64497,2617225,50382097
Asia,Malaysia,33181072,2026-02-16,,7790,159079,5278406,,1126,37348,2066869,68580916
North-America,Canada,38388419,2026-02-16,,5744,128843,4946090,,1538,59034,1734189,66572774
Europe,Belgium,11668278,2026-02-16,,521,416659,4861695,,2946,34376,3209915,37454182
Asia,Israel,9326000,2026-02-16,,30592,519169,4841772,,1363,12707,4436346,41373364
Asia,Thailand,70078203,2026-02-16,,42927,68069,4770149,,494,34586,246488,17273454
Europe,Czechia,10736784,2026-02-16,,318,443246,4759041,,4053,43517,5386552,57834241
South-America,Peru,33684208,2026-02-16,,0,135751,4572667,,6595,222161,1158115,39010194
Europe,Switzerland,8773637,2026-02-16,,292,507549,4453053,,1647,14452,2716487,23833472
Asia,Philippines,112508994,2026-02-16,,6138,36800,4140383,,594,66864,320888,36102746
Europe,Romania,19031335,2026-02-16,,657,185470,3529735,,3622,68929,1511122,28758667
Europe,Denmark,5834950,2026-02-16,,0,545636,3183756,,1511,8814,22165247,129333107
Asia,Singapore,5943546,2026-02-16,,0,505785,3006155,,341,2024,4165302,24756666
Asia,Hong-Kong,7604299,2026-02-16,,6680,386309,2937609,,1963,14924,10011143,76127725
Europe,Sweden,10218971,2026-02-16,,230,269511,2754129,,2682,27407,1908301,19500873
Oceania,New-Zealand,4898203,2026-02-16,,1623,535117,2621111,,1163,5697,1586011,7768604
Europe,Serbia,8653016,2026-02-16,,389,302213,2615054,,2087,18057,1555958,13463733
Asia,Iraq,42164965,2026-02-16,,673,58474,2465545,,602,25375,463523,19544451
Europe,Hungary,9606259,2026-02-16,,29029,232164,2230232,,5106,49048,1186160,11394556
Asia,Bangladesh,167885689,2026-02-16,,,12207,2049377,,176,29493,90862,15254399
Europe,Slovakia,5460193,2026-02-16,,0,343872,1877605,,3887,21224,1364199,7448789
Asia,Georgia,3968738,2026-02-16,,,469082,1861665,,4317,17132,4263340,16920079
Europe,Spain,46719142,2026-02-16,+702,30634,297840,13914811,+8,2606,121760,10082298,471036328
North-America,North-America,,2026-02-16,,2528062,,131889132,,,1695941,,
Asia,Asia,,2026-02-16,,14273512,,221500265,,,1553662,,
Europe,Europe,,2026-02-16,,2550270,,253406198,,,2101824,,
South-America,South-America,,2026-02-16,,2149962,,70200879,,,1367332,,
Oceania,Oceania,,2026-02-16,,110368,,14895771,,,33015,,
Africa,Africa,,2026-02-16,,511224,,12860924,,,258892,,
All,All,,2026-02-16,0,22123398,90413,704753890,0,899.4,7010681,,
North-America,USA,334805269,2026-02-16,,786167,333985,111820082,,3642,1219487,3544901,1186851502
Asia,India,1406631776,2026-02-16,,,32016,45035393,,379,533570,665334,935879495
Europe,France,65584518,2026-02-16,,0,612013,40138560,,2556,167642,4139547,271490188
Europe,Germany,83883596,2026-02-16,,405368,462891,38828995,,2182,183027,1458359,122332384
South-America,Brazil,215353593,2026-02-16,,1783377,179908,38743918,,3303,711380,296146,63776166
Asia,S-Korea,51329899,2026-02-16,,0,673523,34571873,,700,35934,307892,15804065
Asia,Japan,125584838,2026-02-16,,,269169,33803572,,595,74694,799578,100414883
Europe,Italy,60262770,2026-02-16,,165544,443445,26723249,,3261,196487,4665010,281126449
Europe,UK,68497907,2026-02-16,,0,363666,24910387,,3389,232112,7628357,522526476
Europe,Russia,145805947,2026-02-16,,175641,165454,24124215,,2762,402756,1875095,273400000
Asia,Turkey,85561976,2026-02-16,,,201399,17232066,,1194,102174,1902052,162743369
Oceania,Australia,26068792,2026-02-16,,8716,454687,11853144,,937,24414,3142326,81916639
Asia,Vietnam,98953541,2026-02-16,,941018,117481,11625195,,437,43206,867342,85826548
